weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,"Family Households, 2010","Single Parent Families, 2010","Single Parent Families (as % of total Households), 2010","Own Children in Families, 2008-12","Children with no Parent in the Labor Force, 2008-12","% Children with no Parent in the Labor Force, 2008-12"
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],16869,3013,12.79,14792,2220,15
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],7236,924,8.98,5647,468,8.3
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],1187,217,11.65,852,236,27.7
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],8153,1828,15.08,7535,1252,16.6
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],1904,259,9.15,1315,86,6.5
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],480,79,10.41,261,0,0
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],5568,820,9.99,4806,737,15.3
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],2342,406,11.53,1957,456,23.3
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],3609,615,11.1,2679,841,31.4
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],2450,484,13.75,2098,422,20.1
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],11999,2052,11.68,10352,2251,21.7
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],10327,1810,12.2,9557,1521,15.9
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],7109,1366,13.17,7285,1399,19.2
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],2981,209,4.63,1553,31,2
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],1770,308,12.11,1519,119,7.8
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],17489,3416,13.76,16684,1205,7.2
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],2308,406,12.16,1993,167,8.4
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],2492,287,7.9,1797,482,26.8
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],6382,462,5.07,3651,235,6.4
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],7382,1199,11.19,5565,559,10
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],18898,2257,8.52,14838,1186,8
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],22921,2956,9.99,21181,1606,7.6
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],9209,1585,11.61,7809,1016,13
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],1582,296,12.79,1284,280,21.8
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],5269,1007,13.34,4841,887,18.3
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],7686,1156,10.95,6972,455,6.5
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],788,137,12.24,531,13,2.4
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],1519,231,10.73,1023,170,16.6
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],7750,831,7.81,5465,722,13.2
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],26090,3734,10.61,27187,2086,7.7
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],2027,312,10.79,1710,473,27.7
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],2841,464,10.88,2144,173,8.1
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],2638,360,9.82,2128,579,27.2
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],6032,900,10.96,4926,774,15.7
