weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Death Rate, 2011-2013","Years of life lost before age 75, per 100K pop, 2011-2013","Years of potential life lost (YPLL) before age 75, 2011-2013","% deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","# deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","% of deaths due to major respiratory disease, 2011-2013","# of deaths due to major respiratory disease, 2011-2013","% deaths due to infectious, parasitic diseases, 2011-2013"
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],13211,Morgan,"1,010.80",7624,3808,8.5,46,8.9,48,14.9
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],13213,Murray,923.7,10476,11864,10.4,114,11.8,129,19.5
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],13215,Muscogee,894.3,9157,51597,6.3,334,8.5,454,30.6
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton,[object GeneralizedGeometry],13217,Newton,766.8,7906,23095,7.4,172,9.2,215,29.9
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee,[object GeneralizedGeometry],13219,Oconee,614.7,4500,4330,7.7,48,8.4,52,12.9
[object GeneralizedGeometry],42428,OGLETHORPE,19.9,73.3,Oglethorpe,[object GeneralizedGeometry],13221,Oglethorpe,925.8,8064,3318,8.4,34,11.8,48,""
[object GeneralizedGeometry],63190,PAULDING,16,75.3,Paulding,[object GeneralizedGeometry],13223,Paulding,529.3,5701,24104,9.7,224,11.2,258,19.5
[object GeneralizedGeometry],41488,PEACH,22.5,69.2,Peach,[object GeneralizedGeometry],13225,Peach,882.9,8808,6911,7,51,7.6,55,35.2
[object GeneralizedGeometry],50829,PICKENS,20.1,74.9,Pickens,[object GeneralizedGeometry],13227,Pickens,"1,020.80",8579,7072,6.5,59,12.5,113,36.3
[object GeneralizedGeometry],39326,PIERCE,24,70.4,Pierce,[object GeneralizedGeometry],13229,Pierce,"1,036.20",9885,5269,6.5,38,12.5,73,26.5
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike,[object GeneralizedGeometry],13231,Pike,894,7437,3768,7.5,36,12.6,60,22.5
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk,[object GeneralizedGeometry],13233,Polk,"1,115.90",10811,12594,7.3,100,11.5,159,29.1
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski,[object GeneralizedGeometry],13235,Pulaski,891.5,7957,2596,5.4,17,6.4,20,28.6
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam,[object GeneralizedGeometry],13237,Putnam,"1,079.60",9930,5903,6.8,47,9.1,63,28.2
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman,[object GeneralizedGeometry],13239,Quitman,"1,368.30",13534,887,"",3,6.1,6,69.1
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun,[object GeneralizedGeometry],13241,Rabun,"1,163.80",8607,3814,6.9,39,12.5,71,22.5
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph,[object GeneralizedGeometry],13243,Randolph,"1,182.00",10895,2190,6.5,17,10,26,31.7
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond,[object GeneralizedGeometry],13245,Richmond,927,10279,59104,7.4,415,9.2,519,47
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale,[object GeneralizedGeometry],13247,Rockdale,714.9,7116,17561,8.5,158,10,184,20.9
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley,[object GeneralizedGeometry],13249,Schley,741.8,9142,1320,8.9,10,9.8,11,""
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven,[object GeneralizedGeometry],13251,Screven,"1,177.30",10070,4026,6.3,32,6,30,11.7
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole,[object GeneralizedGeometry],13253,Seminole,"1,285.50",12790,3125,7.3,25,10.5,36,26.2
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],13255,Spalding,"1,071.30",10182,18376,6.6,136,13.2,271,40.7
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],13257,Stephens,"1,311.70",10907,7865,7.8,79,12.7,129,37.4
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],13259,Stewart,"1,122.30",10614,1764,8.5,17,19,38,39.3
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],13261,Sumter,993.4,8426,7573,4.5,43,10,95,23.1
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],13263,Talbot,"1,196.50",11488,2117,7.6,18,9.3,22,""
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],13265,Taliaferro,"1,356.70",10280,473,"",4,8.7,6,""
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],13267,Tattnall,860.3,8532,6233,7.7,51,11.4,75,23.5
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],13269,Taylor,"1,075.50",9926,2352,7,19,9.9,27,23.6
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],13271,Telfair,900.1,8310,3806,6.1,27,10.4,46,38.8
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],13273,Terrell,"1,208.60",10588,2703,5.4,18,8.2,27,40.2
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],13275,Thomas,"1,063.30",8453,10566,4.8,68,7.7,110,52.1
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],13277,Tift,930.7,7922,9174,6.1,70,8.7,100,22.8
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],13279,Toombs,"1,085.10",9567,7369,7,62,11.9,106,35.4
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],13281,Towns,"1,508.90",9640,2648,6.7,32,12.7,61,34.5
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],13283,Treutlen,"1,019.40",9353,1778,5.3,11,19.3,40,39.4
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],13285,Troup,936.7,8971,17368,7.6,146,8.8,169,30.7
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],13287,Turner,"1,136.90",9453,2224,4.8,14,9.7,28,43.3
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],13289,Twiggs,"1,353.70",10857,2610,5.5,19,11.8,41,70
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],13291,Union,"1,382.70",8771,4960,6.5,58,9.5,84,29.6
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],13293,Upson,"1,318.40",11713,8747,5.7,60,11.9,126,39.9
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],13295,Walker,"1,063.70",8711,16683,4.8,104,8.5,185,15.6
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],13297,Walton,858,7902,19107,7.2,158,10.5,230,28.6
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],13299,Ware,"1,202.70",10074,10084,6.4,83,13,169,30.6
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],13301,Warren,"1,299.20",10103,1559,5.9,13,11.9,26,65.3
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],13303,Washington,928.7,7789,4573,5,29,8.8,51,23.9
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],13305,Wayne,"1,006.50",10195,8740,9.7,89,10.6,97,35.3
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],13307,Webster,566.1,6542,501,"",3,12.8,6,""
