weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population
[object GeneralizedGeometry],24469,TELFAIR,28.6,72.1,Telfair,[object GeneralizedGeometry],16500,8429,51.1,5830,35.3,90,0.5,2026,12.3,125
[object GeneralizedGeometry],32855,TERRELL,22.2,71.9,Terrell,[object GeneralizedGeometry],9315,3366,36.1,5683,61,29,0.3,157,1.7,80
[object GeneralizedGeometry],31471,THOMAS,17.1,71.8,Thomas,[object GeneralizedGeometry],44720,26081,58.3,16416,36.7,306,0.7,1275,2.9,642
[object GeneralizedGeometry],37033,TIFT,24.7,72.1,Tift,[object GeneralizedGeometry],40118,23555,58.7,11549,28.8,507,1.3,4037,10.1,470
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],27223,16887,62,6716,24.7,199,0.7,3055,11.2,366
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],10471,10102,96.5,39,0.4,43,0.4,206,2,81
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],6885,4466,64.9,2239,32.5,13,0.2,103,1.5,64
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],67044,40408,60.3,22319,33.3,1054,1.6,2170,3.2,1093
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],8930,4820,54,3697,41.4,40,0.4,282,3.2,91
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],9023,5059,56.1,3703,41,14,0.2,124,1.4,123
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],21356,20345,95.3,95,0.4,75,0.4,519,2.4,322
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],27153,18522,68.2,7544,27.8,124,0.5,588,2.2,375
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],68756,63343,92.1,2809,4.1,291,0.4,1113,1.6,1200
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],83768,65677,78.4,12993,15.5,947,1.1,2683,3.2,1468
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],36312,23583,64.9,10662,29.4,278,0.8,1207,3.3,582
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],5834,2133,36.6,3584,61.4,21,0.4,54,0.9,42
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],21187,9339,44.1,11124,52.5,104,0.5,407,1.9,213
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],30099,21749,72.3,5928,19.7,160,0.5,1719,5.7,543
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],2799,1492,53.3,1177,42.1,7,0.3,98,3.5,25
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],7421,4405,59.4,2582,34.8,16,0.2,356,4.8,62
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],27144,25453,93.8,454,1.7,124,0.5,647,2.4,466
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],102599,63818,62.2,3631,3.5,1292,1.3,32471,31.6,1387
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],9255,5544,59.9,3233,34.9,41,0.4,338,3.7,99
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],10593,5495,51.9,4516,42.6,48,0.5,361,3.4,173
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],9563,5529,57.8,3664,38.3,31,0.3,214,2.2,125
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],21679,15044,69.4,5951,27.5,74,0.3,335,1.5,275
