weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"All hospital discharges, deduplicated, 2011-2013","All Hospital discharges, deduplicated, 2011-2013, per 100,000 pop","Discharges for cancers, deduplicated, 2011-2013","Discharge rate, per 100,00, for cancers, deduplicated, 2011-2013","Discharges for major cardiovascular diseases, deduplicated, 2011-2013","Discharge rate, per 100,000 for major cardiovascular diseases, deduplicated, 2011-2013","Discharges for Diabetes, deduplicated, 2011-2013","Discharge rate, per 100,000 for diabetes, deduplicated , 2011-2013"
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],13199,Meriwether,6877,10725,185,289,1106,1725,160,250
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],13201,Miller,2463,13652,37,205,257,1425,52,288
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],13205,Mitchell,6494,9324,207,297,967,1388,124,178
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],13207,Monroe,7705,9602,256,319,1196,1490,127,158
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],13209,Montgomery,2579,9552,79,293,391,1448,41,152
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],13211,Morgan,4963,9255,174,325,727,1356,85,159
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],13213,Murray,8696,7356,229,194,1172,991,128,108
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],13215,Muscogee,51848,8709,1602,269,6355,1068,955,160
[object GeneralizedGeometry],51336,NEWTON,20.2,73.7,Newton,[object GeneralizedGeometry],13217,Newton,24791,8135,619,203,3488,1145,397,130
[object GeneralizedGeometry],77571,OCONEE,17,77.3,Oconee,[object GeneralizedGeometry],13219,Oconee,6518,6452,265,262,905,896,65,64
[object GeneralizedGeometry],42428,OGLETHORPE,19.9,73.3,Oglethorpe,[object GeneralizedGeometry],13221,Oglethorpe,3812,8693,113,258,579,1320,51,116
[object GeneralizedGeometry],63190,PAULDING,16,75.3,Paulding,[object GeneralizedGeometry],13223,Paulding,32921,7563,979,225,3995,918,458,105
[object GeneralizedGeometry],41488,PEACH,22.5,69.2,Peach,[object GeneralizedGeometry],13225,Peach,9124,11065,239,290,1389,1685,197,239
